Year,TeamName_2026,ConstructorNameThatSeason,Standing,Points,Wins,Podiums
2015,Mercedes,Mercedes,1,703,16,32
2015,Ferrari,Ferrari,2,428,3,17
2015,McLaren,McLaren,9,27,0,0
2015,Red Bull Racing,Red Bull Racing,4,187,0,3
2015,Racing Bulls,Toro Rosso,7,67,0,0
2015,Alpine,Lotus F1,6,78,0,0
2015,Haas,N/A - team not yet founded (debuted 2016),N/A,N/A,N/A,N/A
2015,Audi,N/A - not on grid (rebrand from Sauber begins 2026),N/A,N/A,N/A,N/A
2015,Williams,Williams,3,257,0,8
2015,Aston Martin,Force India,5,136,0,0
2015,Cadillac,N/A - not on grid (debuts 2026),N/A,N/A,N/A,N/A
2016,Mercedes,Mercedes,1,765,19,33
2016,Ferrari,Ferrari,3,398,0,17
2016,McLaren,McLaren,6,76,0,0
2016,Red Bull Racing,Red Bull Racing,2,468,2,12
2016,Racing Bulls,Toro Rosso,7,63,0,0
2016,Alpine,Renault,9,8,0,0
2016,Haas,Haas,8,29,0,0
2016,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2016,Williams,Williams,5,138,0,0
2016,Aston Martin,Force India,4,173,0,0
2016,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2017,Mercedes,Mercedes,1,668,12,27
2017,Ferrari,Ferrari,2,522,5,20
2017,McLaren,McLaren,9,30,0,0
2017,Red Bull Racing,Red Bull Racing,3,368,3,13
2017,Racing Bulls,Toro Rosso,7,53,0,0
2017,Alpine,Renault,6,57,0,0
2017,Haas,Haas,8,47,0,0
2017,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2017,Williams,Williams,5,83,0,0
2017,Aston Martin,Force India,4,187,0,1
2017,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2018,Mercedes,Mercedes,1,655,11,25
2018,Ferrari,Ferrari,2,571,6,18
2018,McLaren,McLaren,6,62,0,0
2018,Red Bull Racing,Red Bull Racing,3,419,3,12
2018,Racing Bulls,Toro Rosso,9,33,0,0
2018,Alpine,Renault,4,122,0,0
2018,Haas,Haas,5,93,0,0
2018,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2018,Williams,Williams,10,7,0,0
2018,Aston Martin,Force India / Racing Point (mid-season ownership change),7,52,0,0
2018,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2019,Mercedes,Mercedes,1,739,15,32
2019,Ferrari,Ferrari,2,504,3,14
2019,McLaren,McLaren,4,145,0,0
2019,Red Bull Racing,Red Bull Racing,3,417,3,12
2019,Racing Bulls,Toro Rosso,6,85,0,0
2019,Alpine,Renault,5,91,0,0
2019,Haas,Haas,9,28,0,0
2019,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2019,Williams,Williams,10,1,0,0
2019,Aston Martin,Racing Point,7,73,0,0
2019,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2020,Mercedes,Mercedes,1,573,13,20
2020,Ferrari,Ferrari,6,131,0,2
2020,McLaren,McLaren,3,202,0,3
2020,Red Bull Racing,Red Bull Racing,2,319,2,8
2020,Racing Bulls,AlphaTauri,7,107,1,1
2020,Alpine,Renault,5,181,0,0
2020,Haas,Haas,9,3,0,0
2020,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2020,Williams,Williams,10,0,0,0
