Round,Grand Prix,Circuit Name,Location,Country,Length (km),Image URL
1,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,5.412,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/1200px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png
2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,6.174,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Jeddah_Street_Circuit_2021.svg/1200px-Jeddah_Street_Circuit_2021.svg.png
3,Australian Grand Prix,Albert Park Circuit,Melbourne,Australia,5.278,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Albert_Park_Circuit_2022.svg/1200px-Albert_Park_Circuit_2022.svg.png
4,Japanese Grand Prix,Suzuka International Racing Course,Suzuka,Japan,5.807,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Suzuka_circuit_map_%28pit_lane_details%29.svg/1200px-Suzuka_circuit_map_%28pit_lane_details%29.svg.png
5,Chinese Grand Prix,Shanghai International Circuit,Shanghai,China,5.451,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/1200px-Shanghai_International_Racing_Circuit_track_map.svg.png
6,Miami Grand Prix,Miami International Autodrome,"Miami Gardens, Florida",United States,5.412,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Miami_International_Autodrome_2022.svg/1200px-Miami_International_Autodrome_2022.svg.png
7,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari (Imola),Imola,Italy,4.909,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Imola_2009.svg/1200px-Imola_2009.svg.png
8,Monaco Grand Prix,Circuit de Monaco,Monte Carlo,Monaco,3.337,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Monte_Carlo_Formula_1_track_map.svg/1200px-Monte_Carlo_Formula_1_track_map.svg.png
9,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,4.361,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Circuit_Gilles_Villeneuve.svg/1200px-Circuit_Gilles_Villeneuve.svg.png
10,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,4.657,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Circuit_de_Catalunya_2023.svg/1200px-Circuit_de_Catalunya_2023.svg.png
11,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,4.318,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Spielberg_formula_1_track_map.svg/1200px-Spielberg_formula_1_track_map.svg.png
12,British Grand Prix,Silverstone Circuit,Silverstone,United Kingdom,5.891,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Silverstone_Circuit_2011.svg/1200px-Silverstone_Circuit_2011.svg.png
13,Hungarian Grand Prix,Hungaroring,Mogyoród,Hungary,4.381,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/1200px-Hungaroring.svg.png
14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Stavelot,Belgium,7.004,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Spa-Francorchamps_of_Belgium.svg/1200px-Spa-Francorchamps_of_Belgium.svg.png
15,Dutch Grand Prix,Circuit Zandvoort,Zandvoort,Netherlands,4.259,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Circuit_Zandvoort_2020.svg/1200px-Circuit_Zandvoort_2020.svg.png
16,Italian Grand Prix,Autodromo Nazionale Monza,Monza,Italy,5.793,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Monza_track_map.svg/1200px-Monza_track_map.svg.png
17,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,6.003,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Baku_Formula_One_circuit_map.svg/1200px-Baku_Formula_One_circuit_map.svg.png
18,Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,4.94,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Marina_Bay_Street_Circuit_2023.svg/1200px-Marina_Bay_Street_Circuit_2023.svg.png
19,United States Grand Prix,Circuit of the Americas,"Austin, Texas",United States,5.513,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Austin_formula_one_circuit.svg/1200px-Austin_formula_one_circuit.svg.png
20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,4.304,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg/1200px-Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg.png
21,São Paulo Grand Prix,Autódromo José Carlos Pace (Interlagos),São Paulo,Brazil,4.309,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_Aut%C3%B3dromo_de_Interlagos.svg/1200px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_Aut%C3%B3dromo_de_Interlagos.svg.png
22,Las Vegas Grand Prix,Las Vegas Strip Circuit,"Las Vegas, Nevada",United States,6.201,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Las_Vegas_Strip_Circuit.svg/1200px-Las_Vegas_Strip_Circuit.svg.png
23,Qatar Grand Prix,Lusail International Circuit,Lusail,Qatar,5.419,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Losail_International_Circuit.svg/1200px-Losail_International_Circuit.svg.png
24,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,United Arab Emirates,5.281,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Yas_Marina_Circuit_2021.svg/1200px-Yas_Marina_Circuit_2021.svg.png
