Circuit,First_GP,Laps,Circuit_Length_km,Race_Distance_km,Total_Races_Analyzed,Lap_Record,Lap_Record_Driver,Description,Entity_Type,Entity_Name,Win_Percent,Year,Avg_Lap_Time_Sec,DNF_Reason,DNF_Count
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Driver,Fernando Alonso,50.0,2015,84.058661500918,Accident,6
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Driver,Max Verstappen,25.0,2017,104.16800169515506,Gearbox,5
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Driver,Sebastian Vettel,15.0,2019,74.8397185042295,Hydraulics,7
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Driver,Lewis Hamilton,10.0,2021,104.74405157944702,Accident,7
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Constructor,Mercedes,60.0,2023,92.24066068526007,Accident,1
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Constructor,Red Bull,30.0,2025,83.48378930824119,Spun off,5
Bahrain International Circuit,2004,57,5.412,308.238,20,1:31.447,Pedro de la Rosa,"A modern classic in the desert, known for heavy braking zones and dramatic night races under the floodlights.",Constructor,Ferrari,10.0,2015,100.28189271451619,Electrical,4
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Driver,Max Verstappen,50.0,2015,70.21770737558276,Accident,5
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Driver,Fernando Alonso,25.0,2017,93.36543087094913,Gearbox,6
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Driver,Charles Leclerc,15.0,2019,76.80063336106166,Hydraulics,3
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Driver,Sebastian Vettel,10.0,2021,89.26443589109164,Spun off,6
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Constructor,Ferrari,60.0,2023,103.32586689758023,Collision,6
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Constructor,Red Bull,30.0,2025,86.06489087189752,Power Unit,3
Jeddah Corniche Circuit,2021,50,6.174,308.45,20,1:30.734,Lewis Hamilton,"The fastest street circuit on the calendar, featuring blind high-speed corners alongside the Red Sea.",Constructor,McLaren,10.0,2015,74.34543227680258,Gearbox,8
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Driver,Fernando Alonso,50.0,2015,82.52770646233454,Electrical,7
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Driver,Charles Leclerc,25.0,2017,98.54150987995912,Gearbox,1
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Driver,Sergio Perez,15.0,2019,84.24479496993216,Collision,7
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Driver,Sebastian Vettel,10.0,2021,89.18517709971127,Accident,3
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Constructor,Red Bull,60.0,2023,86.94056866963149,Tyre,2
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Constructor,McLaren,30.0,2025,100.19593255520681,Spun off,6
Albert Park Grand Prix Circuit,1996,58,5.278,306.124,20,1:19.815,Charles Leclerc,"A semi-street circuit in Melbourne. Bumpy, fast, and famously the traditional season opener for many years.",Constructor,Ferrari,10.0,2015,72.641589898087,Accident,3
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Driver,Lewis Hamilton,50.0,2015,96.5097427148126,Collision,4
